2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,44
2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2e,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,0b,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,0b,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,0b,2d,2e,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2d,2d,2d,2d,2d,2d,2d,2d,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,44
2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2c,2d,2d,2d,2d,2d,2d,01,01,01,01,01,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2d,2d,2d,2d,2d,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,01,01,01,01,2c,2e,2c,2e,01,01,01,01,01,01,01,01,01,01,01,2c,2d,2d,2d,2d,2d,2e,2c,2e,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2e,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2e,2c,2e,01,01,01,01,01,01,01,01,01,2c,2d,2d,2d,2e,01,01,01,01,01,01,01,01,01,01,01,01,2c,2d,2d,2d,2e,01,01,01,01,01,01,01,01,01,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,2e,01,01,01,01,2d,2d,2e,01,01,01,2c,2d,2d,2e,01,01,01,01,2c,2d,2d,2d,2d,2d,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2d,01,01,01,01,01,01,01,01,01,01,01,01,2d,44
2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,01,2d,2d,2d,2d,2d,2d,01,01,01,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,01,01,2c,2d,2d,2d,2d,01,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,01,01,01,01,01,01,01,01,01,01,1a,1c,01,01,01,01,1a,1c,01,01,01,2d,2d,2d,2d,2e,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,2d,01,01,01,01,01,00,01,01,01,01,01,01,01,2c,2d,2d,01,01,3d,3e,3e,3e,3e,3e,3e,3e,3f,01,01,01,2d,2d,2e,01,01,01,01,1d,1e,1f,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,2d,2d,01,01,01,01,01,2c,2e,01,01,01,01,01,2c,2e,01,01,01,01,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,44,44,44,44,44,44,44,2d,01,01,1d,1f,01,1d,59,1f,01,1d,1f,01,2d,44
2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,01,01,2c,2e,2c,2d,2d,2e,01,01,01,01,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,01,01,01,2c,2d,2d,2e,01,01,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2e,2c,2d,2d,2e,01,01,01,01,01,01,01,01,01,01,1a,2d,2d,1c,01,01,1a,2d,2d,1c,01,01,2c,2e,2c,2e,01,01,01,01,01,01,01,2c,2e,2c,2e,2c,2d,2d,2d,2d,2d,2d,2d,2e,01,01,2c,2d,2d,2e,2c,2d,2d,2e,2c,2e,01,01,01,01,01,01,01,2c,2e,2c,2e,2c,2d,2e,01,01,01,01,00,01,01,01,01,01,01,01,01,01,2d,2d,01,01,43,44,44,44,44,44,44,44,45,01,01,01,2d,2d,01,01,0e,01,0e,2f,0b,31,0e,01,0e,01,01,01,2d,2d,2d,2d,2d,2d,2d,2e,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,2c,2d,2d,2d,2d,2d,2d,2d,2d,0b,2d,2d,2d,2d,44,44,44,44,44,44,44,2d,01,01,2f,31,01,2f,0b,31,01,2f,31,01,2d,44
2d,2d,2d,2d,2d,2d,2d,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,2e,01,01,01,01,2c,2e,01,01,01,01,01,01,01,01,01,01,01,2d,2d,2d,2d,01,01,2d,2d,2d,2d,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00,01,00,01,00,01,00,01,00,01,01,2d,2d,01,01,43,44,44,44,44,44,44,44,45,01,01,01,2d,2d,01,01,01,01,01,01,01,01,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,2c,2d,2d,2d,2d,2d,2d,01,2d,2d,2d,2d,44,44,44,44,44,44,44,2d,01,01,01,01,01,01,01,01,01,01,01,01,2d,44
2d,2d,2d,2d,2d,2d,2d,0c,1b,1b,1b,1b,1b,1b,1b,1b,1b,01,01,01,01,01,01,01,01,01,01,01,01,01,01,1a,1b,1b,1b,0c,1b,1b,1b,1b,1b,1c,01,01,01,01,01,01,01,01,01,01,01,1a,1b,1b,1b,1b,0c,2d,2d,2d,2d,2d,2d,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,2c,2d,2d,2e,01,01,2c,2d,2d,2e,01,01,1a,1c,1a,1c,01,01,01,01,01,01,01,1a,1c,1a,1c,1a,1b,1b,1b,1b,1b,0c,1b,1c,01,01,1a,1b,1b,1c,1a,1b,1b,1c,1a,1c,01,01,01,01,01,01,01,1a,1c,1a,1c,1a,1b,1c,01,01,01,01,00,01,01,01,01,01,01,01,01,01,2d,2d,01,01,49,4a,44,44,44,4a,4a,4a,4b,01,01,01,2d,2d,01,01,0e,01,0e,01,01,01,0e,01,0e,01,01,01,2d,2d,2d,2d,2d,2d,0c,1c,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,01,2d,2d,2d,2d,44,44,44,44,44,44,44,2d,01,01,01,01,01,01,01,01,01,01,01,01,2d,44
2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,2d,2d,2d,1c,01,01,01,01,01,01,01,01,01,01,01,01,1a,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,01,01,01,01,01,01,01,01,01,01,1a,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,2d,2d,2d,2d,1c,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,1c,1a,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,1c,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,2d,01,01,01,01,01,00,01,01,01,01,01,01,01,1a,2d,2d,01,01,01,01,50,44,4f,01,01,01,01,01,01,01,2d,2d,1c,01,01,01,01,01,01,01,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,0c,2d,01,01,01,01,01,1a,1c,01,01,01,01,01,1a,1c,01,01,01,01,01,01,01,01,01,01,2d,2d,2d,2d,2d,2d,01,2d,2d,2d,2d,44,44,44,44,44,44,44,2d,01,01,01,01,01,01,01,01,01,01,01,01,2d,44
2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,01,01,01,01,01,01,01,01,01,01,01,01,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,1c,01,01,01,01,01,01,01,01,1a,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,1c,01,01,01,01,1a,1c,01,01,01,01,01,01,01,1a,1c,1a,1c,01,01,01,01,01,01,01,01,01,01,01,1a,2d,2d,2d,2d,2d,1c,1a,1c,01,01,1a,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,1c,1a,1c,01,01,1a,2d,2d,2d,2d,2d,2d,2d,1c,1a,1c,01,01,01,01,01,01,01,01,01,1a,2d,2d,2d,1c,01,01,01,01,44,01,01,01,01,01,01,01,1a,2d,2d,2d,1c,01,01,01,01,01,01,01,01,01,01,01,1a,2d,2d,2d,2d,2d,2d,0c,2d,1c,01,01,01,01,2d,2d,1c,01,01,01,1a,2d,2d,1c,01,01,01,01,01,01,01,01,1a,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,44,44,44,44,44,44,44,2d,01,01,01,01,01,01,01,01,01,01,01,01,2d,44
2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,1b,1b,1b,1b,1b,0c,1b,1b,1b,1b,1c,1a,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,2d,1b,1b,1b,1b,1b,1b,1b,1b,2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,2d,1b,1b,1b,1b,2d,2d,1b,1b,1b,1b,1b,1b,1b,2d,2d,2d,2d,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,2d,2d,2d,2d,2d,2d,2d,2d,2d,1c,1a,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,1c,1a,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,1b,1b,1b,1b,1b,1b,1b,1b,1b,2d,2d,2d,2d,2d,1b,1b,1b,1b,44,1b,1b,1b,1b,1b,1b,0c,2d,2d,2d,2d,2d,1b,1b,1b,1b,0c,1b,1b,1b,1b,1b,1b,2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,1b,1b,1c,1a,2d,2d,2d,1b,1b,1b,2d,2d,2d,2d,1b,1b,1b,1b,1b,1b,1b,0c,2d,2d,2d,2d,2d,2d,2d,0c,2d,2d,2d,2d,44,44,44,44,44,44,44,2d,1b,1b,1b,1b,1b,1b,0c,1b,1b,1b,1b,1b,2d,44
